classifier,ulevel,dataset,distance,cmp,acc,train_duration,test_duration
GNB,0.6,SyntheticControl,ued,simple_cmp,0.78,620.91,24.22
GNB,0.6,ShapeletSim,ued,simple_cmp,0.6722222222222223,670.4,544.46
GNB,0.6,Chinatown,ued,simple_cmp,0.8833819241982507,604.85,84.67
GNB,0.6,ECG200,ued,cdf_cmp,0.75,606.99,15.71
GNB,0.6,TwoLeadECG,ued,cdf_cmp,0.607550482879719,648.9,1561.01
GNB,0.6,ECGFiveDays,ued,cdf_cmp,0.5632984901277585,679.54,1772.61
GNB,0.6,ItalyPowerDemand,ued,cdf_cmp,0.8610301263362488,612.88,184.15
GNB,0.6,SonyAIBORobotSurface2,ued,cdf_cmp,0.782791185729276,644.73,1117.52
GNB,0.6,SonyAIBORobotSurface1,ued,cdf_cmp,0.7454242928452579,629.18,702.63
GNB,0.6,Plane,ued,cdf_cmp,0.8761904761904762,636.37,43.23
GNB,0.6,Trace,ued,cdf_cmp,0.62,620.95,29.38
GNB,0.6,SmoothSubspace,ued,cdf_cmp,0.6133333333333333,602.32,5.56
GNB,0.6,BME,ued,cdf_cmp,0.6733333333333333,660.07,290.65
GNB,0.6,CBF,ued,cdf_cmp,0.7088888888888889,659.12,1361.02
GNB,0.6,UMD,ued,cdf_cmp,0.7430555555555556,629.73,118.81
GNB,0.6,SyntheticControl,ued,cdf_cmp,0.3866666666666666,592.03,18.19
GNB,0.6,ShapeletSim,ued,cdf_cmp,0.4888888888888889,653.53,409.5
GNB,0.6,Chinatown,ued,cdf_cmp,0.8483965014577259,609.05,139.99
GNB,0.6,ECG200,ued,interval_cmp,0.83,621.28,19.75
GNB,0.6,TwoLeadECG,ued,interval_cmp,0.5996488147497805,644.43,1363.31
GNB,0.6,ECGFiveDays,ued,interval_cmp,0.667828106852497,681.86,1895.88
GNB,0.6,ItalyPowerDemand,ued,interval_cmp,0.8862973760932945,626.77,355.55
GNB,0.6,SonyAIBORobotSurface2,ued,interval_cmp,0.7901364113326338,632.48,671.66
GNB,0.6,SonyAIBORobotSurface1,ued,interval_cmp,0.8119800332778702,631.28,483.96
GNB,0.6,Plane,ued,interval_cmp,0.9333333333333332,635.09,21.31
GNB,0.6,Trace,ued,interval_cmp,0.82,630.79,37.78
GNB,0.6,SmoothSubspace,ued,interval_cmp,0.56,622.49,20.14
GNB,0.6,BME,ued,interval_cmp,0.6933333333333334,647.74,227.97
GNB,0.6,CBF,ued,interval_cmp,0.8511111111111112,653.42,984.35
GNB,0.6,UMD,ued,interval_cmp,0.8472222222222222,639.83,168.35
GNB,0.6,SyntheticControl,ued,interval_cmp,0.7433333333333333,621.83,23.13
GNB,0.6,ShapeletSim,ued,interval_cmp,0.6722222222222223,664.64,537.62
GNB,0.6,Chinatown,ued,interval_cmp,0.8833819241982507,606.22,62.05
GNB,0.6,ECG200,dust_uniform,simple_cmp,0.77,629.11,27.83
GNB,0.6,TwoLeadECG,dust_uniform,simple_cmp,0.6637401229148375,639.53,963.0
GNB,0.6,ECGFiveDays,dust_uniform,simple_cmp,0.6957026713124274,678.88,1802.79
GNB,0.6,ItalyPowerDemand,dust_uniform,simple_cmp,0.7998056365403304,636.39,548.97
GNB,0.6,SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7282266526757608,627.07,788.09
GNB,0.6,SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.5124792013311148,627.78,566.94
GNB,0.6,Plane,dust_uniform,simple_cmp,0.8,623.71,35.35
